Geo_FIPS,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009
48201100000,2021,415,372,43,0,43,1606,1148,458
48201210100,58,43,20,23,4,19,15,11,4
48201210400,1584,951,415,536,143,393,633,260,373
48201210500,1809,1298,686,612,144,468,511,331,180
48201210600,1973,1224,718,506,172,334,749,356,393
48201210700,714,478,225,253,66,187,236,130,106
48201210800,812,502,231,271,88,183,310,182,128
48201210900,527,388,143,245,62,183,139,44,95
48201211000,757,435,171,264,109,155,322,216,106
48201211100,1922,1078,408,670,104,566,844,513,331
48201211200,891,578,202,376,7,369,313,139,174
48201211300,1930,1107,351,756,127,629,823,497,326
48201211400,1455,859,320,539,70,469,596,342,254
48201211500,1955,1438,943,495,77,418,517,334,183
48201211600,985,579,328,251,66,185,406,313,93
48201211700,1350,854,488,366,40,326,496,238,258
48201211900,1535,1272,726,546,97,449,263,129,134
48201212300,1711,1205,451,754,161,593,506,333,173
48201212400,903,696,367,329,83,246,207,142,65
48201212500,1332,735,455,280,30,250,597,284,313
48201220100,740,557,251,306,135,171,183,97,86
48201220200,849,612,351,261,106,155,237,115,122
48201220300,1220,869,644,225,71,154,351,236,115
48201220400,1257,986,651,335,97,238,271,111,160
48201220500,1844,875,676,199,57,142,969,508,461
48201220600,1118,809,414,395,118,277,309,198,111
48201220700,1713,1208,522,686,175,511,505,294,211
48201220800,869,612,204,408,107,301,257,138,119
48201220900,449,329,184,145,59,86,120,39,81
48201221000,874,679,402,277,114,163,195,47,148
48201221100,966,761,545,216,64,152,205,114,91
48201221200,1609,1385,843,542,180,362,224,83,141
48201221300,2298,1789,1103,686,252,434,509,339,170
48201221400,1797,1382,711,671,277,394,415,248,167
48201221500,2508,2077,1008,1069,201,868,431,199,232
48201221600,2509,2225,1377,848,261,587,284,190,94
48201221700,2139,1949,1129,820,276,544,190,42,148
48201221800,1007,740,486,254,76,178,267,181,86
48201221900,1159,932,645,287,68,219,227,158,69
48201222000,592,464,330,134,32,102,128,62,66
48201222100,1292,1076,660,416,88,328,216,132,84
48201222200,986,792,498,294,127,167,194,165,29
48201222300,1142,960,539,421,157,264,182,112,70
48201222401,876,707,357,350,123,227,169,89,80
48201222402,1428,1339,970,369,93,276,89,65,24
48201222501,1015,792,358,434,179,255,223,171,52
48201222502,988,868,505,363,148,215,120,72,48
48201222503,1799,1498,736,762,301,461,301,164,137
48201222600,1762,990,347,643,251,392,772,494,278
48201222700,2106,1249,266,983,171,812,857,331,526
48201222800,824,661,414,247,126,121,163,128,35
48201222900,2092,1845,1297,548,157,391,247,159,88
48201223001,1020,898,430,468,89,379,122,56,66
48201223002,1159,923,531,392,166,226,236,100,136
48201223100,551,446,282,164,67,97,105,30,75
48201230100,466,329,197,132,21,111,137,51,86
48201230200,1774,986,462,524,137,387,788,436,352
48201230300,723,360,116,244,81,163,363,230,133
48201230400,1150,760,204,556,153,403,390,239,151
48201230500,1057,736,456,280,31,249,321,245,76
48201230600,863,521,265,256,93,163,342,160,182
48201230700,925,582,233,349,124,225,343,182,161
48201230800,852,545,227,318,71,247,307,115,192
48201230900,1399,811,368,443,58,385,588,271,317
48201231000,1282,861,376,485,45,440,421,268,153
48201231100,1325,960,743,217,53,164,365,217,148
48201231200,2211,1801,686,1115,222,893,410,116,294
48201231300,1457,997,515,482,90,392,460,227,233
48201231400,898,654,269,385,119,266,244,99,145
48201231500,959,710,281,429,150,279,249,82,167
48201231600,1008,689,313,376,67,309,319,159,160
48201231700,945,690,478,212,90,122,255,192,63
48201231800,800,569,378,191,55,136,231,96,135
48201231900,2263,1449,678,771,306,465,814,377,437
48201232000,1163,942,639,303,12,291,221,114,107
48201232100,835,570,268,302,100,202,265,184,81
48201232200,5161,3381,2367,1014,386,628,1780,841,939
48201232301,3003,2564,1602,962,258,704,439,280,159
48201232302,2789,2515,1861,654,52,602,274,179,95
48201232401,2471,2188,1420,768,134,634,283,177,106
48201232402,1171,869,520,349,45,304,302,165,137
48201232403,1409,1022,601,421,142,279,387,233,154
48201232500,783,600,401,199,47,152,183,111,72
48201232600,901,733,552,181,61,120,168,74,94
48201232701,2354,1801,1048,753,303,450,553,326,227
48201232702,1970,1397,811,586,172,414,573,313,260
48201232800,2130,1320,721,599,154,445,810,550,260
48201232900,2777,1801,1097,704,142,562,976,579,397
48201233001,1305,790,361,429,64,365,515,358,157
48201233002,1188,1024,830,194,48,146,164,57,107
48201233003,817,654,427,227,76,151,163,54,109
48201233101,1219,873,548,325,126,199,346,189,157
48201233102,1785,1459,945,514,163,351,326,216,110
48201233103,1383,1091,575,516,188,328,292,176,116
48201233200,1713,1261,950,311,160,151,452,333,119
48201233300,1303,1094,782,312,129,183,209,116,93
48201233400,974,554,367,187,49,138,420,197,223
48201233500,2193,1760,1356,404,152,252,433,310,123
48201233600,756,462,244,218,32,186,294,116,178
48201233701,1466,1193,670,523,150,373,273,181,92
48201233702,815,680,452,228,0,228,135,69,66
48201233703,662,555,355,200,36,164,107,38,69
48201240100,1582,923,345,578,128,450,659,375,284
48201240400,2133,1550,1074,476,130,346,583,340,243
48201240501,2291,1277,560,717,167,550,1014,621,393
48201240502,2021,1296,353,943,48,895,725,488,237
48201240600,1017,563,160,403,86,317,454,271,183
48201240701,4546,3879,2377,1502,352,1150,667,527,140
48201240702,3242,2932,1760,1172,350,822,310,264,46
48201240801,2552,1699,747,952,404,548,853,484,369
48201240802,1378,964,636,328,64,264,414,210,204
48201240901,3105,2513,1883,630,191,439,592,325,267
48201240902,4184,3161,2208,953,250,703,1023,250,773
48201241000,2719,2007,1400,607,66,541,712,350,362
48201241101,1565,1183,776,407,57,350,382,279,103
48201241102,3792,2863,2061,802,228,574,929,527,402
48201241103,1462,1093,624,469,49,420,369,181,188
48201241200,2295,1804,1200,604,224,380,491,155,336
48201241300,3989,3096,2654,442,88,354,893,309,584
48201241400,3008,2107,1729,378,19,359,901,487,414
48201241500,3034,2078,975,1103,218,885,956,475,481
48201250100,2481,2098,1473,625,319,306,383,182,201
48201250200,2822,2165,1599,566,132,434,657,237,420
48201250301,2128,1566,979,587,230,357,562,404,158
48201250302,3485,2761,2048,713,168,545,724,398,326
48201250401,3584,2988,2309,679,67,612,596,248,348
48201250402,5660,4763,4029,734,203,531,897,583,314
48201250500,1930,1366,984,382,52,330,564,212,352
48201250600,2932,1942,1117,825,236,589,990,492,498
48201250701,1837,1468,1082,386,139,247,369,119,250
48201250702,1547,1313,1066,247,122,125,234,48,186
48201250800,2884,2407,2026,381,169,212,477,187,290
48201250900,3609,2565,2314,251,137,114,1044,403,641
48201251000,1329,908,650,258,105,153,421,179,242
48201251100,2998,2230,1938,292,24,268,768,304,464
48201251200,2127,1686,1410,276,0,276,441,181,260
48201251300,2738,2291,2040,251,109,142,447,201,246
48201251401,817,735,643,92,17,75,82,41,41
48201251402,2375,1556,1095,461,120,341,819,372,447
48201251501,1592,1386,1216,170,135,35,206,144,62
48201251502,3586,2941,2586,355,71,284,645,379,266
48201251503,746,623,552,71,33,38,123,80,43
48201251600,2120,1664,1343,321,101,220,456,208,248
48201251700,2894,2110,1503,607,324,283,784,437,347
48201251800,708,618,565,53,14,39,90,42,48
48201251901,3256,2726,2057,669,330,339,530,294,236
48201251902,1839,1429,1095,334,211,123,410,258,152
48201252000,4557,3774,2902,872,258,614,783,391,392
48201252100,650,498,399,99,46,53,152,68,84
48201252200,2706,1877,1402,475,153,322,829,391,438
48201252301,2527,2208,1400,808,174,634,319,87,232
48201252302,3652,2759,2135,624,190,434,893,694,199
48201252400,2086,1608,1100,508,183,325,478,180,298
48201252500,1302,974,573,401,106,295,328,209,119
48201252600,2307,1537,884,653,267,386,770,503,267
48201252700,1416,1127,922,205,35,170,289,115,174
48201252800,2311,1853,1164,689,309,380,458,249,209
48201252900,2830,1992,1503,489,177,312,838,340,498
48201253000,1383,973,546,427,145,282,410,209,201
48201253100,2845,2421,1921,500,190,310,424,208,216
48201253200,3279,2760,1838,922,232,690,519,225,294
48201253300,1201,904,684,220,51,169,297,143,154
48201253400,223,99,72,27,13,14,124,78,46
48201253500,3087,2270,1166,1104,178,926,817,411,406
48201253600,2378,1184,692,492,132,360,1194,676,518
48201253700,2042,1331,895,436,47,389,711,318,393
48201253800,2442,1902,1313,589,95,494,540,236,304
48201253900,1726,1099,606,493,115,378,627,295,332
48201254000,1465,1035,541,494,81,413,430,220,210
48201254100,1703,1227,713,514,126,388,476,281,195
48201254200,856,685,469,216,119,97,171,118,53
48201254300,1722,1139,734,405,83,322,583,281,302
48201254400,871,680,433,247,71,176,191,94,97
48201254500,668,532,290,242,78,164,136,69,67
48201254600,1239,944,744,200,45,155,295,131,164
48201254700,1027,685,498,187,71,116,342,259,83
48201310100,2402,1054,385,669,149,520,1348,813,535
48201310200,800,330,232,98,34,64,470,272,198
48201310300,1835,926,522,404,119,285,909,574,335
48201310400,1388,809,388,421,163,258,579,371,208
48201310500,1371,968,619,349,80,269,403,239,164
48201310600,1886,1425,922,503,125,378,461,226,235
48201310700,1288,791,513,278,55,223,497,249,248
48201310800,836,511,266,245,84,161,325,227,98
48201310900,1750,1112,605,507,204,303,638,351,287
48201311000,1938,1676,1188,488,177,311,262,120,142
48201311100,1713,1312,751,561,194,367,401,283,118
48201311200,1769,1289,657,632,303,329,480,260,220
48201311300,1424,1093,775,318,54,264,331,141,190
48201311400,509,324,205,119,45,74,185,117,68
48201311500,2106,1437,963,474,149,325,669,297,372
48201311600,1368,921,420,501,256,245,447,307,140
48201311700,1787,1269,736,533,142,391,518,384,134
48201311800,1250,1015,595,420,13,407,235,93,142
48201311900,658,443,267,176,60,116,215,143,72
48201312000,824,380,263,117,28,89,444,179,265
48201312100,0,0,0,0,0,0,0,0,0
48201312200,825,408,137,271,48,223,417,252,165
48201312300,753,315,120,195,45,150,438,199,239
48201312400,954,449,137,312,94,218,505,271,234
48201312500,1761,551,338,213,67,146,1210,674,536
48201312600,3623,1602,1306,296,87,209,2021,1171,850
48201312700,934,414,179,235,34,201,520,317,203
48201312800,663,358,50,308,49,259,305,154,151
48201312900,1478,681,352,329,37,292,797,389,408
48201313000,1246,543,213,330,82,248,703,514,189
48201313100,1631,626,533,93,53,40,1005,391,614
48201313200,1737,729,415,314,110,204,1008,540,468
48201313300,940,638,324,314,85,229,302,172,130
48201313400,1119,585,303,282,25,257,534,266,268
48201313500,861,614,203,411,82,329,247,144,103
48201313600,1667,1010,419,591,162,429,657,310,347
48201313700,884,533,224,309,65,244,351,134,217
48201313800,1849,919,249,670,60,610,930,446,484
48201313900,2588,787,432,355,143,212,1801,872,929
48201314001,1683,640,527,113,49,64,1043,647,396
48201314002,3723,1438,984,454,218,236,2285,1494,791
48201314300,2262,957,453,504,92,412,1305,792,513
48201314400,1845,667,584,83,52,31,1178,607,571
48201320100,978,591,324,267,124,143,387,261,126
48201320200,2010,1581,918,663,255,408,429,229,200
48201320500,1301,1200,845,355,117,238,101,48,53
48201320601,815,504,349,155,47,108,311,180,131
48201320602,1338,947,669,278,117,161,391,74,317
48201320700,1425,930,536,394,102,292,495,253,242
48201320800,1520,1293,972,321,105,216,227,77,150
48201320900,2278,1694,1099,595,179,416,584,317,267
48201321000,2577,2025,1303,722,106,616,552,404,148
48201321100,2622,1922,1474,448,80,368,700,359,341
48201321200,1051,790,397,393,54,339,261,233,28
48201321300,2140,1651,830,821,292,529,489,330,159
48201321401,1118,942,745,197,27,170,176,89,87
48201321402,1193,970,750,220,54,166,223,103,120
48201321500,876,608,288,320,109,211,268,119,149
48201321600,1911,1701,1227,474,231,243,210,94,116
48201321700,1000,712,568,144,20,124,288,126,162
48201321800,1084,868,563,305,76,229,216,115,101
48201321900,1590,1303,914,389,81,308,287,220,67
48201322000,1537,1150,483,667,244,423,387,293,94
48201322100,1135,844,504,340,116,224,291,162,129
48201322200,488,373,305,68,17,51,115,75,40
48201322600,1754,1335,875,460,147,313,419,242,177
48201322700,2163,1702,1020,682,254,428,461,261,200
48201322800,1667,1349,947,402,174,228,318,135,183
48201322900,1157,989,618,371,150,221,168,111,57
48201323000,2177,1412,774,638,153,485,765,320,445
48201323100,1101,889,398,491,143,348,212,117,95
48201323200,1586,1217,911,306,58,248,369,175,194
48201323300,1222,777,546,231,89,142,445,240,205
48201323400,2145,1607,1126,481,25,456,538,312,226
48201323500,1851,1187,619,568,163,405,664,559,105
48201323600,3051,1839,1383,456,164,292,1212,510,702
48201323701,1929,1034,550,484,327,157,895,412,483
48201323702,1173,735,474,261,23,238,438,209,229
48201323801,1139,875,652,223,15,208,264,104,160
48201323802,1552,1124,701,423,155,268,428,143,285
48201323900,1476,756,427,329,123,206,720,364,356
48201324000,1903,1528,1224,304,51,253,375,231,144
48201324100,1577,1103,697,406,124,282,474,287,187
48201324200,454,301,167,134,43,91,153,119,34
48201330100,2365,1921,1057,864,44,820,444,197,247
48201330200,1214,924,497,427,39,388,290,99,191
48201330301,1928,1766,1297,469,89,380,162,56,106
48201330302,1509,1258,833,425,134,291,251,140,111
48201330303,1608,966,547,419,168,251,642,333,309
48201330400,1532,1165,765,400,138,262,367,140,227
48201330500,1209,918,461,457,166,291,291,117,174
48201330600,2001,1587,998,589,107,482,414,153,261
48201330700,2170,1876,1231,645,145,500,294,176,118
48201330800,3421,2569,1690,879,98,781,852,298,554
48201330900,3375,2071,1038,1033,268,765,1304,594,710
48201331100,1291,761,230,531,60,471,530,215,315
48201331200,1313,705,205,500,30,470,608,230,378
48201331300,1783,1278,601,677,146,531,505,177,328
48201331400,960,557,41,516,0,516,403,106,297
48201331500,2669,1945,1036,909,177,732,724,303,421
48201331601,2422,1798,682,1116,273,843,624,178,446
48201331602,696,409,150,259,103,156,287,154,133
48201331700,1302,878,389,489,52,437,424,213,211
48201331800,1249,817,330,487,90,397,432,201,231
48201331900,1064,726,344,382,134,248,338,119,219
48201332000,1785,1210,358,852,100,752,575,196,379
48201332100,832,669,311,358,96,262,163,81,82
48201332200,1412,1042,437,605,116,489,370,227,143
48201332300,1000,678,298,380,90,290,322,183,139
48201332400,1326,952,443,509,29,480,374,71,303
48201332500,1069,643,394,249,75,174,426,235,191
48201332600,2085,1630,942,688,125,563,455,210,245
48201332700,739,565,422,143,11,132,174,100,74
48201332800,1363,981,457,524,124,400,382,243,139
48201332900,1361,994,648,346,70,276,367,208,159
48201333000,960,747,495,252,107,145,213,122,91
48201333100,1203,969,542,427,170,257,234,64,170
48201333201,1749,1197,567,630,287,343,552,202,350
48201333202,2435,1221,472,749,86,663,1214,529,685
48201333300,3246,2420,1368,1052,260,792,826,549,277
48201333500,2151,1342,737,605,298,307,809,575,234
48201333600,1028,798,669,129,21,108,230,156,74
48201333700,923,658,417,241,76,165,265,192,73
48201333800,2904,2340,1637,703,189,514,564,257,307
48201333901,2467,2213,1751,462,173,289,254,123,131
48201333902,3001,2235,1440,795,102,693,766,387,379
48201334001,1111,714,207,507,149,358,397,149,248
48201334002,1118,531,409,122,0,122,587,257,330
48201334003,2361,1700,1275,425,188,237,661,348,313
48201334100,4502,2842,1534,1308,255,1053,1660,445,1215
48201340100,2349,1430,906,524,137,387,919,518,401
48201340201,702,420,388,32,0,32,282,120,162
48201340202,1491,1265,1187,78,0,78,226,162,64
48201340203,1904,1362,1156,206,53,153,542,270,272
48201340301,1452,1295,1259,36,0,36,157,43,114
48201340302,2499,2047,1873,174,96,78,452,110,342
48201340400,545,459,417,42,21,21,86,24,62
48201340500,2845,1329,797,532,256,276,1516,990,526
48201340600,992,750,666,84,34,50,242,105,137
48201340700,2657,2025,1458,567,209,358,632,240,392
48201340800,2076,1707,1409,298,52,246,369,264,105
48201340900,1967,1110,761,349,100,249,857,527,330
48201341000,3174,1557,798,759,288,471,1617,701,916
48201341100,1492,619,338,281,149,132,873,439,434
48201341201,1640,859,440,419,179,240,781,377,404
48201341202,2318,1119,741,378,72,306,1199,704,495
48201341301,2668,884,599,285,49,236,1784,919,865
48201341302,1577,653,443,210,53,157,924,525,399
48201341400,1962,1350,1168,182,76,106,612,328,284
48201341501,2614,1551,1311,240,66,174,1063,505,558
48201341502,1880,1054,822,232,63,169,826,500,326
48201341600,2112,1470,1101,369,107,262,642,394,248
48201341700,1060,608,506,102,39,63,452,309,143
48201341800,703,457,287,170,48,122,246,156,90
48201342001,2310,1981,1634,347,125,222,329,136,193
48201342002,1210,920,776,144,12,132,290,139,151
48201342100,1459,1201,958,243,71,172,258,128,130
48201342200,1119,843,536,307,51,256,276,157,119
48201342300,2233,1869,1321,548,151,397,364,215,149
48201342400,1216,858,558,300,80,220,358,220,138
48201342500,2340,1527,1155,372,151,221,813,518,295
48201342700,1777,1401,955,446,111,335,376,210,166
48201342800,2797,2456,1956,500,209,291,341,162,179
48201342900,2061,1724,1288,436,127,309,337,14,323
48201343000,2682,1904,1366,538,281,257,778,282,496
48201343100,1630,1252,941,311,108,203,378,159,219
48201343200,1687,1416,1197,219,158,61,271,115,156
48201343301,1528,1289,999,290,124,166,239,102,137
48201343302,1719,1393,1043,350,66,284,326,178,148
48201343600,1299,886,584,302,116,186,413,224,189
48201343700,1114,818,517,301,39,262,296,204,92
48201350100,5174,4141,3213,928,302,626,1033,464,569
48201350200,2833,2308,1580,728,188,540,525,151,374
48201350300,2052,1721,1474,247,127,120,331,186,145
48201350400,1980,1506,793,713,140,573,474,195,279
48201350500,2351,1872,1115,757,265,492,479,224,255
48201350601,1605,1083,844,239,118,121,522,293,229
48201350602,2963,2431,2136,295,42,253,532,207,325
48201350700,822,667,548,119,24,95,155,71,84
48201350801,1687,1201,700,501,97,404,486,175,311
48201350802,2959,1968,1259,709,229,480,991,367,624
48201410100,2241,723,310,413,85,328,1518,918,600
48201410200,2644,879,635,244,137,107,1765,769,996
48201410300,1491,543,510,33,0,33,948,404,544
48201410401,2239,824,754,70,33,37,1415,746,669
48201410402,1430,553,401,152,94,58,877,509,368
48201410500,2407,865,709,156,59,97,1542,884,658
48201410600,2295,489,335,154,65,89,1806,1223,583
48201410701,2349,635,545,90,42,48,1714,900,814
48201410702,1624,259,185,74,33,41,1365,1019,346
48201410800,2150,696,627,69,0,69,1454,603,851
48201410900,1578,419,292,127,53,74,1159,609,550
48201411000,3018,827,754,73,17,56,2191,1161,1030
48201411100,1636,993,845,148,83,65,643,160,483
48201411200,726,536,523,13,0,13,190,82,108
48201411300,2323,776,577,199,55,144,1547,852,695
48201411400,1208,765,718,47,11,36,443,134,309
48201411501,3665,1043,849,194,30,164,2622,1131,1491
48201411502,2451,743,496,247,149,98,1708,739,969
48201411600,994,712,608,104,90,14,282,125,157
48201411700,1747,459,341,118,51,67,1288,638,650
48201411800,2598,1036,856,180,8,172,1562,579,983
48201411900,1829,844,661,183,53,130,985,508,477
48201412000,1400,913,844,69,38,31,487,298,189
48201412100,0,0,0,0,0,0,0,0,0
48201412200,2152,1299,1196,103,50,53,853,413,440
48201412300,2645,1992,1854,138,21,117,653,306,347
48201412400,1545,1343,1212,131,26,105,202,131,71
48201412500,625,471,431,40,6,34,154,68,86
48201412600,1370,1094,960,134,38,96,276,117,159
48201412700,1354,816,738,78,40,38,538,272,266
48201412800,1731,1386,1237,149,51,98,345,121,224
48201412900,2188,957,691,266,74,192,1231,586,645
48201413000,1564,945,878,67,3,64,619,225,394
48201413100,1149,950,859,91,29,62,199,68,131
48201413201,1623,504,427,77,24,53,1119,458,661
48201413202,1948,647,492,155,34,121,1301,542,759
